Line;KM;Stop name;Befestigung text;Befestigung Auswahl;Type of display;Mounted on;Lighting;Second hand;EIGENTuMER;ANTEIL EIGENTUM;EIGENTuMER GRUPPE;IH-EA;IH-TC;FID;Geopos
890;33.585;Ziegelbrucke;Haengend;Haengend;Beidseitig;Dach_BE PD Zwischenperron 4;ja;ja;SBB Konzern;100;SBB;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38852502;47.13644639119299,9.060719889011041
900;5.705;Bad Ragaz;Haengend;Haengend;Beidseitig;Dach_BE Uberdachung Treppe;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38856786;47.010300319903685,9.50474054068643
900;7.718;Maienfeld;Haengend;Haengend;Beidseitig;Dach_BE PD Hausperron;ja;ja;SBB Konzern;100;SBB;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;262846163;47.00410728091718,9.528692426551558
900;12.25;Landquart;Haengend;Haengend;Beidseitig;Dach_BE PD Aussenperron 2;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38858157;46.9678607755785,9.553530748532918
900;12.512;Landquart;Haengend;Haengend;Einseitig;Dach_BE PD Aussenperron 2;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38857431;46.9656682472724,9.553930451746274
900;12.512;Landquart;Haengend;Haengend;Einseitig;Dach_BE PD Aussenperron 2;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38857549;46.9656682472724,9.553930451746274
900;12.512;Landquart;Haengend;Haengend;Einseitig;Dach_BE PD Zwischenperron;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38861175;46.96568862577295,9.554146981777679
900;25.623;Chur;Haengend;Haengend;Beidseitig;Dach_BE PD Zwi. Perron 2;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38858621;46.85390576664621,9.52960134448676
900;25.777;Chur;Haengend;Haengend;Beidseitig;Dach_BE PD Hausperron;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38858355;46.85291459242358,9.528159640590577
920;13.583;Chur;Haengend;Haengend;Beidseitig;Dach_BE PD Zwi. Perron 3;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38858457;46.854022036310276,9.529459161668175
920;14.07;Chur;Seitlich;Seitlich;Beidseitig;Mast 169;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38858792;46.85239552955298,9.526379237353655
930;-0.128;Chur;Haengend;Haengend;Beidseitig;Dach_BE automatisiert;ja;ja;Migration ausstehend;100;unbekannt;Ost > St. Gallen & Sargans;Ost > St. Gallen & Sargans;38859000;46.85352982920673,9.53046545307984
