Line;KM;Stop name;Befestigung text;Befestigung Auswahl;Type of display;Mounted on;Lighting;Second hand;EIGENTuMER;ANTEIL EIGENTUM;EIGENTuMER GRUPPE;IH-EA;IH-TC;FID;Geopos
290;110.791;Ostermundigen;Haengend;Haengend;Beidseitig;Dach_BE Marquise quai 2;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38853566;46.956601427814775,7.481771930076327
290;110.791;Ostermundigen;Haengend;Haengend;Beidseitig;Dach_BE Marquise quai 2;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38853562;46.956607706993076,7.481819229918628
290;113.993;Gumligen;Seitlich;Seitlich;Beidseitig;Dach_BE Perrondach 2;ja;ja;SBB Infrastruktur;100;SBB;Mitte > Bern;Mitte > Bern;160473251;46.934022749278874,7.5057353938383775
290;125.748;Wichtrach;Seitlich;Seitlich;Beidseitig;Mast 44;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38849429;46.841441816929795,7.56866160191146
290;131.089;Uttigen;Haengend;Haengend;Beidseitig;Dach_BE Marquise quai 2;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38849455;46.79438695095827,7.582774586684448
290;137.086;Thun;Haengend;Haengend;Beidseitig;Dach_BE Marquise quai 1 (BV);ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38861260;46.75441004806568,7.63018705957165
290;137.107;Thun;Haengend;Haengend;Beidseitig;Dach_BE Marquise quai 2;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38859473;46.75417279021614,7.630226361709875
297;5.691;Koniz;Haengend;Haengend;;Gebaeude;ja;ja;BLS Netz AG;100;BLS;Mitte > Bern;Mitte > Bern;38859931;46.92474624904016,7.4151534482551495
298;3.118;Bern  Europaplatz;Haengend;Haengend;Beidseitig;Bruecke_Unterbau;ja;ja;Migration ausstehend;100;unbekannt;Mitte > Bern;Mitte > Bern;38859325;46.9434589546079,7.407480938568
298;6.586;Wabern bei Bern;Haengend;Haengend;Beidseitig;Dach_BE automatisiert;ja;ja;BLS Netz AG;100;BLS;Mitte > Bern;Mitte > Bern;274914339;46.9285647080719,7.446109075408981
